date,gross_exposure,position_count,realized_pnl,unrealized_pnl,total_pnl,invested_total,recovered_total,cash_estimate,blocked,signals,fills
2015-07-02,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-03,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-06,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-07,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-08,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-09,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-10,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-13,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-14,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
2015-07-15,0.0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,1,0,0
